73;35266
85;44901
79;42725
83;42331
75;36366
81;47619
72;35540
98;49791
92;45539
75;35107
76;161911
85;221160
90;232063
86;224245
87;229774
88;226592
99;253821
83;219128
76;202857
88;225673
88;228788
75;190598
68;172614
77;201715
80;209376
70;181734
71;186645
84;214235
82;215650
80;205483
67;176371
85;216544
82;211384
85;221434
83;220421
75;187381
81;210292
78;207231
67;178913
86;228709
75;197409
73;192746
78;204106
80;207020
86;220341
96;249533
91;245369
81;203023
77;205538
91;240849
85;225703
73;188190
75;195316
78;208005
77;194768
68;169767
66;177134
81;209529
84;225110
75;188067
86;225539
86;226978
92;243028
81;202451
74;190974
83;224005
75;196677
87;224324
69;177802
90;237368
83;217420
79;210595
70;181664
102;269977
78;200768
58;147886
86;220419
83;216397
83;216587
69;174215
68;176091
81;212614
89;233069
93;237365
74;191783
75;196293
68;176425
78;206660
84;221539
84;215710
68;174971
65;171792
71;185065
68;172035
94;246464
78;198667
88;227720
78;203930
79;204437
78;202086
8;19572
